views,likes,dislikes
1048888,19515,226
15352638,359277,7479
925281,11212,401
2641597,39131,441
715724,32887,367
36124750,965069,16618
93337,5595,103
271736,16622,90
535044,9207,384
598045,9431,318
630958,8611,238
5465106,260091,3070
2323592,292060,1204
439749,3150,841
8555203,409131,3387
3080415,132904,4445
745069,39199,882
2282094,45553,2280
61996017,1014057,4721
3209398,169047,1500
4939065,143161,1066
467685,4174,362
1273002,20993,582
1987966,76651,370
9576198,779651,11838
118234,1750,67
831973,20570,389
872372,38626,239
34881793,653296,11242
1948792,105053,4834
1226989,43212,889
4896494,359418,5211
3284924,237093,3637
2169614,243671,2650
758587,25358,1187
2825761,157437,925
696182,37133,379
402044,4900,113
1398663,61780,1295
338811161,2127834,102831
2375271,116383,1532
889913,25372,442
2111088,50562,644
734888,63514,975
1658384,41917,477
95705,3915,168
588757,6520,144
738778,11821,218
6504784,262477,5779
3582464,110237,11403
2310454,41694,301
2308251,17776,646
1827691,33764,435
581087,21981,285
1231096,28691,485
604938,21384,226
18853006,437526,15883
412591136,16354127,281252
805487,16607,148
2766371,53930,1132
338038,19829,700
28245216,145033,8906
4048868,173594,4225
499456,5310,262
692686,5373,484
1435781,65952,2284
128144,9762,122
349575,27420,327
2178036,141271,486
430610,41536,1323
618307,30148,715
177806,5029,1446
1384613,65577,1303
143878,2344,129
326828,12503,79
398121,24853,3362
2360332,48120,1141
3033836,128151,720
1473338,71147,2130
3306384,134463,9620
5194860,89391,2217
1236419,27897,2021
1942681,65039,2473
714458,19234,268
408932,5364,35
1100852,92706,1409
5785347,183412,4180
1607906,100097,847
1085103,40206,2292
1065652,30386,726
385767,7202,107
1460137,10257,760
153786,1644,57
17653398,579469,18121
2742806,143077,9017
533084,38965,119
7511236,205691,4560
69414249,2879997,153517
235810,1737,50
2251592,162035,2444
5720966,374297,6109
892994,93924,298
75170,159,18
1057077,22526,531
9724219,233527,897
305955,15787,256
379061,6743,123
6151732,565438,12964
223484,2697,136
783222,71080,257
1208124,44100,819
1210000,60313,567
455400,13928,239
163160664,4566918,420720
420935,9776,2876
362279552,2148387,137011
5091788,68137,753
255788,23610,346
2055050,95784,678
230974,13342,230
26437168,241994,23326
562933,9217,411
2889489,61802,1977
382944,12528,222
3283512,184933,2038
2139910,85600,1267
519092,23095,409
191191,9684,92
821927,13078,196
3092717,174332,1941
113342,6751,63
2190629,226686,1553
382790,6190,109
6083768,128404,1880
620919,6638,928
3092655,49712,1631
1408768,88669,606
12041750,929047,15439
1756711,178536,2729
6798144,443987,6996
226091,2166,114
589004,29793,533
425328,9804,94
167761,6678,80
3723778,199787,3412
300924,9236,225
1652070,28342,995
47002050,1107057,15912
7071743,196643,8737
7868817,276861,10823
3372929,142397,425
620556,56027,983
56447923,465220,12652
129371,4772,91
1780432,15236,602
1952750,67310,15844
568693,35698,322
2288857,84855,698
2098152,115044,1355
2426638,29287,781
303265,8102,152
2805562,144888,1411
1133432,89482,1466
4535820,76992,1229
12313899,246638,1017
660780,19718,391
436589,21768,205
205437,10509,375
26811074,421750,16825
130127,3232,49
2161075,175915,1796
2758991,47668,1222
1176473,33321,397
1084208,31427,617
1311397,13031,1847
15831250,1109541,11203
647795,42193,305
1444351,25432,592
1060581,70698,483
541208,14902,923
12330189,583677,9364
1933283,148342,783
1724965,119431,325
851900,19327,717
898920,81990,1430
2318202,197405,2803
1670540,64347,1827
714819,19007,3077
1935302,71513,2113
5627310,106358,3613
606761,1789,1409
4662868,236746,1418
239682,7691,215
607404,30497,419
4046803,73623,750
1610195,11748,722
1003827,44893,635
1496794,56174,820
2417442,153338,692
14765394,385501,13738
1568547,43956,275
2160198,17770,1076
4980622,257087,1552
356382,12680,89
34797565,2463596,45171
1336585,15894,1766
1101325,25868,435
33509829,1255537,13030
7872779,179188,2623
200923,1729,371
705491,6999,161
1351447,43285,517
2900347,305511,6953
48927,4333,58
7579064,293661,9694
995881,42889,386
11057944,678639,11681
3080530,71277,3503
1149482,12390,731
2195761,32297,550
1506847,37190,535
372983,13469,227
579561,38246,361
58660,138,7
345937,16655,268
4378726,43325,4145
746215,29367,500
728232,9124,400
253402,14422,276
265787,1945,186
3502098,247110,1652
728027,38855,544
1294983,125244,1027
1029387,15721,461
260927,2683,62
181580,8704,96
309114,23656,127
1300496,109096,1227
5024919,217684,2769
7059719,641118,11226
605156,8553,715
83948,5803,433
581635,19103,488
2312269,20001,1350
488845,10617,375
235073,977,82
232864,4957,185
759718,22508,426
377601,10962,472
1390009,75585,1331
511584,30074,357
1372678,141120,1992
1207124,57948,8271
638363,24054,382
902073,44214,1657
528707,23947,271
6648566,349562,4127
1346847,48450,832
277773,15042,322
2492379,240605,2213
2454860,152219,2436
3525294,198080,5368
759032,4326,206
592198,31057,471
602876,26471,437
165739,7735,128
1941617,106028,945
3535065,57587,4269
670619,42522,862
467029,4424,262
47525572,1117651,9529
6098573,165729,3310
485860,5059,96
347568,3095,199
276405,1232,70
10126272,111021,6095
501938,8185,97
324474,20036,345
856074,9096,303
645319,25795,331
336466,2628,150
18372312,241025,2577
1201801,42785,2229
12330385,37382,398
3226934,30067,3923
9633548,186681,3810
601573,28824,789
1011291,48273,912
524836,10155,361
1117984,67914,493
107231,5748,28
158237,6860,1195
1051181,67587,2103
1140843,151994,2627
835181,64322,10261
1022534,37512,841
264868,11895,109
1602823,74768,1812
7249256,137956,4120
628676,5115,205
190866,5343,421
180920,3379,741
1729263,77383,1653
317654,4453,249
47469042,912962,27185
356167,21654,97
482906,23334,352
1530290,19579,1151
4540549,132581,1108
21120011,1148553,30318
1769968,16835,840
1037867,66373,1733
2015052,57413,4926
470082,15229,313
155604,1330,33
2107904,13444,1835
4694328,102533,4655
93942,2686,235
91222245,4133436,197008
1354997,20073,405
1152757,19265,718
285059,17750,612
567225,15363,212
2211963,80432,1922
5380700,294226,4992
733246,7971,181
11234550,100343,1091
813408,35809,425
1042619,43318,673
3285044,127328,6181
1121335,20559,338
205968,5574,184
6065468,256789,5913
416002,6493,481
794457,81260,2586
2040685,40772,1617
1428005,77056,624
3064441,113100,694
293949,3737,89
478483,7183,124
295950,13012,649
310942,25654,304
2345837,18662,510
557365,16296,168
1236365,44348,2259
149383,650,1713
2643440,25365,1166
18641178,872686,18277
770432,16713,195
752104,12350,371
6944182,100105,9563
761814,9932,214
2152275,9157,379
1391966,56965,788
691451,13285,752
5921703,281353,4681
239296,3342,97
408766,44168,778
4662938,128342,2072
1651012,27023,533
281658,5133,122
824175,5697,569
857879,105717,766
797937,77562,821
13797514,1007626,20358
76654,541,24
3655085,84784,1791
1471639,20797,486
5006125,122735,2655
1345656,44515,343
509675,6388,201
1950528,70517,1608
1767940,17058,521
315692,6141,74
677369,28035,528
35562010,765976,11378
354243090,7078517,396469
562645,11129,1115
182259,3067,206
99996,3813,77
6583476,112323,2113
270106,5229,152
478128,66012,165
